,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
    05.3 - Lutte contre la pollution,"0,4","0,4","0,4","0,4","0,4","0,5","0,7","0,7","0,7","0,8","0,8","1,1","1,1","1,4","1,8","1,9","1,6","1,7","1,7","1,9"
    05.4 - Préservation de la diversité biologique et protection de la nature,"0,5","0,6","0,6","0,6","0,7","0,8","0,9","0,9","0,9","1,0","1,0","1,1","1,1","1,2","1,4","1,5","1,6","1,8","1,8","1,8"
    05.5 - R-D dans le domaine de la protection de l'environnement,"0,1","0,1","0,1","0,1","0,1","0,2","0,3","0,2","0,2","0,2","0,4","0,5","0,5","0,4","0,3","0,3","0,4","0,4","0,4","0,4"
    05.6 - Protection de l'environnement n.c.a.,"1,5","1,6","1,6","1,4","1,6","1,6","2,0","1,8","2,0","2,0","1,8","2,1","1,8","1,7","1,8","1,7","1,6","1,6","1,5","1,5"
06 - Logements et équipements collectifs,"10,5","10,6","12,1","12,1","13,3","15,3","15,7","17,9","18,4","19,2","18,8","21,0","22,4","24,2","28,4","28,0","28,8","27,6","28,6","30,8"
    06.1 - Logements,"2,1","2,0","1,8","1,7","1,9","2,2","2,4","2,9","2,8","2,8","2,0","3,2","4,2","5,5","8,6","9,1","9,2","8,8","8,7","11,3"
    06.2 - Équipements collectifs,"6,4","6,6","8,3","8,4","9,0","10,4","10,3","11,8","12,3","13,0","13,2","13,8","14,0","14,3","15,4","14,6","15,1","14,7","15,5","15,2"
    06.3 - Alimentation en eau,"1,2","1,1","1,2","1,2","1,4","1,7","1,9","2,1","2,2","2,3","2,5","2,7","2,9","3,0","3,0","3,0","2,9","2,7","2,9","2,8"
    06.4 - Éclairage public,"0,6","0,6","0,6","0,6","0,7","0,8","0,9","1,0","1,0","1,1","1,1","1,2","1,3","1,3","1,3","1,3","1,4","1,4","1,4","1,4"
    06.5 - R-D dans le domaine du logement et des équipements collectifs,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
    06.6 - Logement et équipements collectifs n.c.a.,"0,3","0,3","0,2","0,2","0,2","0,2","0,2","0,2","0,2","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1"
07 - Santé,"86,4","90,4","91,3","94,1","96,5","103,0","107,8","115,5","122,7","129,0","135,3","139,9","144,6","148,2","153,7","158,8","163,5","167,0","171,6","175,4"
"    07.1 - Produits, appareils et matériels médicaux","11,5","12,4","12,7","13,8","14,9","16,6","18,2","19,3","20,6","21,7","22,5","22,7","24,1","24,5","29,0","29,7","29,9","29,3","30,8","31,6"
    07.2 - Services ambulatoires,"31,4","32,6","32,8","33,4","33,4","35,6","36,9","39,6","42,7","45,4","47,1","50,2","52,4","54,2","52,2","54,3","56,1","58,3","59,9","61,5"
    07.3 - Services hospitaliers,"40,5","42,2","42,5","43,5","44,6","46,8","48,7","51,5","54,3","56,4","59,8","61,3","62,2","63,8","66,1","67,9","70,8","72,8","73,7","75,1"
    07.4 - Services de santé publique,"1,0","1,2","1,2","1,2","1,3","1,6","1,4","2,2","2,1","2,3","2,6","2,5","2,3","2,1","2,5","2,7","2,5","2,5","2,6","2,6"
    07.5 - R-D dans le domaine de la santé,"1,3","1,4","1,4","1,4","1,6","1,7","1,8","1,9","2,1","2,1","2,3","2,1","2,5","2,6","2,6","2,4","2,3","2,2","2,4","2,4"
    07.6 - Santé n.c.a.,"0,7","0,7","0,7","0,7","0,8","0,8","0,9","0,9","1,0","1,0","1,1","1,1","1,1","1,1","1,2","1,9","1,9","1,9","2,2","2,3"
"08 - Loisirs, culture et culte","10,2","10,2","10,9","11,8","12,6","13,9","16,2","18,2","19,9","20,6","22,2","24,1","25,3","26,4","27,5","28,6","29,1","30,0","30,9","31,1"
    08.1 - Services récréatifs et sportifs,"4,1","4,0","4,4","4,9","5,2","5,7","6,6","7,5","8,3","8,7","9,4","10,0","10,6","10,8","11,3","11,7","12,0","12,3","12,8","12,6"
    08.2 - Services culturels,"5,7","5,7","6,1","6,5","7,0","7,7","9,0","10,1","10,9","11,2","12,0","13,1","13,6","14,1","14,6","15,2","15,5","16,1","16,7","16,5"
"    08.3 - Services de radiodiffusion, de télévision et d'édition","0,3","0,4","0,3","0,3","0,3","0,4","0,4","0,4","0,4","0,5","0,5","0,7","0,8","1,2","1,2","1,2","1,1","1,1","1,0","1,5"
    08.4 - Culte et autres services communautaires,"0,1","0,1","0,1","0,1","0,1","0,2","0,2","0,2","0,3","0,3","0,3","0,3","0,3","0,3","0,4","0,4","0,4","0,4","0,5","0,5"
"    08.5 - R-D dans le domaine des loisirs, de la culture et du culte","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
"    08.6 - Loisirs, culture et culte n.c.a.","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,1","0,0","0,0"
09 - Enseignement,"70,1","71,8","73,5","75,8","79,5","82,8","86,4","91,8","94,0","94,6","97,4","101,2","103,0","107,3","109,8","112,6","112,8","114,6","116,4","118,3"
    09.1 - Enseignement préélémentaire et primaire,"18,1","18,6","18,9","19,5","20,6","21,3","22,1","23,3","23,8","24,0","24,6","25,2","25,6","26,5","26,6","27,3","28,0","25,5","29,4","29,4"
    09.2 - Enseignement secondaire,"33,2","34,1","34,7","35,5","37,6","38,8","40,2","42,5","43,5","44,0","45,1","46,5","47,2","48,7","48,9","49,4","49,8","53,7","51,3","51,5"
    09.3 - Enseignement postsecondaire non supérieur,"0,4","0,4","0,4","0,4","0,4","0,5","0,5","0,5","0,5","0,6","0,7","0,8","1,0","1,0","1,2","1,4","1,3","1,3","1,4","1,8"
    09.4 - Enseignement supérieur,"7,4","7,3","7,7","8,0","7,8","8,3","8,6","9,6","9,9","9,6","10,0","10,4","10,1","11,0","11,9","13,9","14,3","14,1","13,9","13,9"
    09.5 - Enseignement non défini par niveau,"2,9","3,0","3,2","3,4","3,4","3,8","4,6","4,5","4,6","4,6","5,2","5,6","6,2","6,5","6,5","6,3","5,3","5,4","5,5","5,5"
    09.6 - Services annexes à l'enseignement,"7,0","7,2","7,4","7,9","8,3","8,9","9,2","10,1","10,3","10,4","10,6","11,3","11,6","12,3","13,4","13,3","13,4","14,0","14,4","15,6"
    09.7 - R-D dans le domaine de l'enseignement,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
    09.8 - Enseignement n.c.a.,"1,1","1,1","1,1","1,2","1,2","1,2","1,2","1,3","1,4","1,3","1,3","1,4","1,3","1,3","1,3","0,9","0,7","0,7","0,6","0,6"
10 - Protection sociale,"259,9","268,1","277,4","285,1","296,3","301,4","314,3","328,6","347,0","362,0","376,7","399,1","420,6","435,3","459,0","472,3","487,8","504,7","516,5","528,7"
    10.1 - Maladie et invalidité,"33,6","34,8","35,0","36,2","37,6","33,9","35,0","36,7","38,6","42,0","44,3","46,4","50,5","50,3","53,6","54,3","55,8","57,9","59,7","61,2"
    10.2 - Vieillesse,"129,2","132,0","137,8","142,4","147,5","152,4","159,1","165,2","174,1","188,2","198,5","213,4","225,9","238,6","248,9","257,7","269,1","277,6","285,2","291,7"
    10.3 - Survivants,"20,1","20,7","20,8","21,2","21,5","21,8","22,5","23,3","24,0","24,9","26,3","27,1","27,9","28,7","29,6","31,3","31,6","33,4","33,7","34,6"
    10.4 - Famille et enfants,"31,7","32,5","33,4","33,5","34,6","36,3","37,0","37,6","39,1","40,2","41,0","44,0","47,1","47,9","48,5","48,8","50,0","51,8","52,7","53,9"
    10.5 - Chômage,"21,0","22,9","23,4","23,7","25,1","25,8","26,8","30,1","34,1","35,1","34,3","32,9","31,7","30,7","35,7","37,9","38,1","39,7","41,2","42,3"
    10.6 - Logement,"11,5","11,8","13,0","13,0","13,5","13,9","14,2","15,0","15,0","15,6","15,9","16,2","16,2","17,4","19,1","18,1","18,5","19,4","19,1","19,4"
    10.7 - Exclusion sociale n.c.a.,"10,6","11,3","11,8","12,9","14,1","14,4","16,9","17,6","18,7","12,5","12,9","15,1","17,1","17,3","19,1","20,1","20,3","20,5","20,5","21,2"
    10.8 - R-D dans le domaine de la protection sociale,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
    10.9 - Protection sociale n.c.a.,"2,1","2,2","2,3","2,4","2,5","2,9","2,9","3,1","3,4","3,5","3,7","3,9","4,2","4,3","4,5","4,2","4,4","4,4","4,4","4,5"
 ,,,,,,,,,,,,,,,,,,,,
Rémunération des salariés (D1),"161,3","168,0","171,9","177,3","184,1","191,0","197,8","207,0","214,1","219,2","226,7","232,9","240,6","246,6","254,1","259,8","263,6","268,5","273,1","278,2"
01 - Services généraux des administrations publiques,"26,8","27,9","27,4","28,4","29,9","31,3","32,4","31,7","31,3","32,0","33,4","34,0","36,3","36,6","37,2","35,1","34,8","35,9","36,9","37,8"
"    01.1 - Fonctionnement des organes exécutifs et législatifs, affaires financières et fiscales, affaires étrangères","7,8","8,1","8,3","8,6","8,9","9,5","9,8","9,8","10,6","10,7","10,9","10,8","11,4","11,6","11,7","11,4","11,6","12,1","12,4","12,5"
    01.2 - Aide économique extérieure,"0,1","0,1","0,1","0,1","0,1","0,2","0,2","0,2","0,2","0,2","0,2","0,2","0,2","0,3","0,3","0,3","0,3","0,3","0,3","0,3"
    01.3 - Services généraux,"15,7","16,5","15,6","16,3","17,4","18,3","19,0","18,3","16,9","17,4","18,4","19,1","20,6","20,7","21,2","20,4","20,2","21,1","21,6","22,4"
    01.4 - Recherche fondamentale,"2,8","2,9","2,9","3,0","3,1","2,9","3,0","3,0","3,2","3,2","3,3","3,4","3,6","3,6","3,5","2,7","2,2","2,1","2,0","2,0"
    01.5 - R & D concernant les services généraux des administrations publiques,"0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,0","0,0","0,0","0,0","0,0"
    01.6 - Services généraux des administrations publiques n.c.a.,"0,3","0,3","0,3","0,3","0,3","0,4","0,4","0,4","0,4","0,4","0,4","0,4","0,4","0,4","0,4","0,4","0,5","0,4","0,5","0,5"
    01.7 - Opérations concernant la dette publique,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
    01.8 - Transferts de caractère général entre administrations publiques,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
02 - Défense,"13,2","13,9","14,0","14,5","14,6","14,9","14,9","15,5","15,6","15,8","16,1","16,4","16,9","16,9","17,3","18,3","18,6","18,9","18,8","18,9"
    02.1 - Défense militaire,"11,3","11,8","11,9","12,3","12,5","12,7","12,7","13,2","13,3","13,4","13,7","13,9","14,4","14,3","14,7","15,8","16,1","16,5","16,2","16,3"
    02.2 - Défense civile,"0,2","0,2","0,2","0,2","0,2","0,2","0,2","0,2","0,2","0,2","0,2","0,2","0,2","0,2","0,3","0,2","0,2","0,1","0,2","0,2"
    02.3 - Aide militaire à des pays étrangers,"0,5","0,6","0,6","0,6","0,6","0,6","0,6","0,6","0,6","0,6","0,6","0,7","0,7","0,7","0,7","0,6","0,7","0,6","0,8","0,8"
    02.4 - R-D concernant la défense,"0,8","0,8","0,8","0,9","0,9","0,9","0,9","0,9","0,9","0,9","1,0","1,0","1,0","1,1","1,0","1,0","1,0","1,0","0,9","0,9"
    02.5 - Défense n.c.a.,"0,4","0,5","0,5","0,5","0,5","0,5","0,5","0,5","0,5","0,5","0,5","0,5","0,6","0,6","0,6","0,7","0,7","0,7","0,6","0,6"
03 - Ordre et sécurité publics,"13,0","13,3","13,4","13,8","14,3","14,8","15,9","17,4","18,5","18,7","19,2","19,8","20,6","22,4","23,3","24,2","25,0","25,5","26,0","26,3"
    03.1 - Services de police,"9,1","9,3","9,4","9,7","10,0","10,3","10,8","11,7","12,3","12,4","12,7","12,9","13,4","14,6","15,2","15,7","16,2","16,4","16,8","16,9"
    03.2 - Services de protection civile,"1,0","1,0","1,0","1,0","1,1","1,1","1,7","2,0","2,3","2,4","2,6","2,9","3,1","3,2","3,4","3,5","3,6","3,7","3,8","3,9"
    03.3 - Tribunaux,"1,7","1,8","1,8","1,8","1,9","2,0","2,0","2,2","2,3","2,3","2,3","2,4","2,4","2,7","2,8","2,9","3,0","3,1","3,1","3,2"
    03.4 - Administration pénitentiaire,"1,0","1,0","1,0","1,0","1,1","1,1","1,1","1,2","1,3","1,3","1,3","1,3","1,4","1,5","1,6","1,7","1,8","1,9","1,9","1,9"
    03.5 - R-D concernant l'ordre et la sécurité publics,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
    03.6 - Ordre et sécurité publics n.c.a.,"0,2","0,2","0,2","0,2","0,2","0,3","0,3","0,3","0,3","0,3","0,3","0,3","0,3","0,3","0,4","0,4","0,4","0,4","0,4","0,4"
04 - Affaires économiques,"9,1","9,7","10,4","10,5","10,4","10,6","9,4","10,1","10,8","11,9","12,8","13,3","13,8","13,2","13,9","14,2","14,2","14,3","14,5","14,8"
"    04.1 - Tutelle de l'économie générale, des échanges et de l'emploi","1,2","1,3","1,4","1,4","1,4","1,3","1,3","1,4","1,5","1,7","1,9","1,9","2,0","1,8","1,8","1,9","1,9","3,6","3,5","3,6"
"    04.2 - Agriculture, sylviculture, pêche et chasse","2,3","2,5","2,8","2,8","2,8","2,8","2,2","2,4","2,6","2,8","3,1","3,2","3,4","3,4","3,5","3,6","3,6","1,9","1,9","1,9"
    04.3 - Combustibles et énergie,"0,1","0,2","0,2","0,2","0,2","0,2","0,2","0,2","0,2","0,2","0,2","0,2","0,2","0,2","0,2","0,2","0,2","0,3","0,3","0,3"
"    04.4 - Industries extractives et manufacturières, construction","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,2","0,2","0,2","0,2","0,2","0,2","0,2","0,2","0,2","0,2","0,2"
    04.5 - Transports,"2,6","2,8","3,1","3,1","3,1","3,0","2,5","2,7","3,0","3,4","3,8","3,9","4,1","3,9","3,9","4,1","4,3","4,3","4,4","4,4"
    04.6 - Communications,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
    04.7 - Autres branches d'activité,"0,7","0,7","0,8","0,9","0,9","0,9","0,6","0,7","0,7","0,8","0,8","0,9","0,9","1,0","1,0","1,1","0,8","0,8","0,9","0,9"
    04.8 - R-D concernant les affaires économiques,"1,4","1,5","1,5","1,5","1,5","1,7","2,0","2,0","2,1","2,1","2,1","2,1","2,1","2,0","2,3","2,4","2,5","2,5","2,5","2,5"
    04.9 - Affaires économiques n.c.a.,"0,5","0,5","0,6","0,6","0,6","0,6","0,6","0,6","0,6","0,7","0,8","0,8","0,9","0,8","0,8","0,8","0,7","0,7","0,8","0,8"
05 - Protection de l'environnement,"1,4","1,5","1,8","1,7","1,9","1,8","2,3","2,4","2,9","3,0","3,1","3,4","3,3","3,4","3,7","4,0","4,3","4,5","4,5","4,6"
    05.1 - Gestion des déchets,"0,3","0,4","0,6","0,6","0,7","0,8","0,9","0,9","1,2","1,3","1,3","1,4","1,5","1,7","1,8","1,9","2,2","2,3","2,4","2,5"
    05.2 - Gestion des eaux usées,"0,1","0,1","0,1","0,1","0,2","0,2","0,2","0,2","0,3","0,3","0,3","0,3","0,3","0,4","0,4","0,4","0,4","0,4","0,4","0,4"
    05.3 - Lutte contre la pollution,"0,0","0,0","0,0","0,0","0,0","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1"
    05.4 - Préservation de la diversité biologique et protection de la nature,"0,1","0,1","0,1","0,1","0,1","0,2","0,2","0,2","0,2","0,2","0,2","0,2","0,2","0,3","0,3","0,4","0,4","0,4","0,5","0,5"
    05.5 - R-D dans le domaine de la protection de l'environnement,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1"
    05.6 - Protection de l'environnement n.c.a.,"0,8","0,9","0,9","0,8","0,8","0,6","0,9","1,0","1,1","1,1","1,1","1,2","1,0","0,9","1,0","1,0","1,0","1,1","1,0","1,0"
06 - Logements et équipements collectifs,"1,3","1,4","2,9","3,0","3,1","3,5","3,7","4,2","4,7","4,9","5,1","4,9","5,4","5,7","5,9","6,2","6,2","6,5","6,4","6,7"
    06.1 - Logements,"0,0","0,0","0,0","0,0","0,0","0,0","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,3","0,2","0,2"
    06.2 - Équipements collectifs,"1,2","1,3","2,7","2,8","2,9","3,3","3,5","4,0","4,3","4,5","4,8","4,5","5,0","5,2","5,4","5,7","5,7","5,8","5,8","6,0"
    06.3 - Alimentation en eau,"0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,2","0,2","0,2","0,2","0,2","0,2","0,3","0,3","0,3","0,3","0,3","0,3"
    06.4 - Éclairage public,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1"
    06.5 - R-D dans le domaine du logement et des équipements collectifs,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
    06.6 - Logement et équipements collectifs n.c.a.,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,1","0,1","0,1","0,1","0,1","0,1","0,1"
07 - Santé,"27,5","28,5","29,0","30,0","31,2","32,7","34,2","36,1","37,5","38,7","40,3","41,2","42,4","43,5","44,1","45,5","46,4","47,1","48,4","49,5"
"    07.1 - Produits, appareils et matériels médicaux","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
    07.2 - Services ambulatoires,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
    07.3 - Services hospitaliers,"25,8","26,7","27,1","28,0","29,0","30,4","31,8","33,6","34,8","36,0","37,5","38,4","39,3","40,3","41,3","42,1","43,0","43,9","44,9","45,9"
    07.4 - Services de santé publique,"0,7","0,8","0,8","0,8","0,9","0,9","1,0","1,0","1,1","1,1","1,1","1,2","1,2","1,2","1,0","1,5","1,5","1,6","1,6","1,6"
    07.5 - R-D dans le domaine de la santé,"0,5","0,6","0,6","0,6","0,7","0,7","0,7","0,7","0,8","0,8","0,9","0,9","1,0","1,0","0,9","0,7","0,6","0,5","0,5","0,6"
    07.6 - Santé n.c.a.,"0,5","0,5","0,6","0,6","0,6","0,7","0,7","0,7","0,8","0,8","0,8","0,8","0,9","0,9","0,9","1,2","1,2","1,1","1,4","1,4"
"08 - Loisirs, culture et culte","3,1","3,4","3,8","4,0","4,2","4,4","5,1","6,4","7,2","7,5","7,7","8,2","8,7","9,2","9,4","10,0","10,2","10,5","10,6","11,0"
    08.1 - Services récréatifs et sportifs,"1,1","1,2","1,3","1,4","1,5","1,6","1,8","2,4","2,7","2,8","2,9","3,1","3,3","3,5","3,6","3,9","3,9","4,0","4,0","4,2"
    08.2 - Services culturels,"2,0","2,2","2,4","2,5","2,7","2,8","3,2","3,9","4,4","4,6","4,7","5,0","5,3","5,6","5,7","6,0","6,2","6,4","6,5","6,7"
"    08.3 - Services de radiodiffusion, de télévision et d'édition","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
